企業名,勤務地,給与,初年度年収
株式会社アップルツリー ,＊転勤なし＊ 【新エネルギー事業部／ライティング事業本部】 東京都大田区平和島4-1-23　JSプ…,月給21万円〜35万円＋各種手当（身だしなみ手当・インセンティブなど） ※経験・年齢・能力などを考慮の…,300万円～450万円
株式会社プロダクトマーケッティングサービス ,本社／福岡市中央区薬院4-8-4 ※転勤はありません！U・Iターン歓迎！ ★福岡市営地下鉄七隈線『…,◎月給21万円〜 ※経験、能力を考慮し、優遇いたします。 ※試用期間6ヶ月(給与同一),初年度年収のデータなし
株式会社フィネス ,＜転勤なし＞ ＜博多駅から徒歩圏内＞ ■本社／福岡市博多区博多駅南2-8-35 博多ステラビル4F…,"月給200,000円以上 + 諸手当 ※待遇条件の詳細については、面接でご相談ください。 ※年齢手当あり。 （…",初年度年収のデータなし
ピットデザイン株式会社 ,【東京本社（大手町駅直結）　※転勤なし】 ●東京都千代田区大手町2丁目1番1号 大手町野村ビル10…,月給：28万円〜35万円 ＋ 賞与年2回（※業績による） ※経験・年齢・能力を考慮のうえ、決定します。 ※…,336万円～600万円
株式会社ムトー ,【 転勤なし★岐阜県笠松町 or 名古屋市 】 ※通勤手当支給 ▼アルミ本部(マイカー通勤OK)…,【 月給18万円〜35万円＋諸手当 】 ※今回の転職が不利にならないよう 　あなたの経験・年齢を考慮の上…,350万円～650万円
株式会社オールウィン ,【転勤なし】大阪市北区天満橋3-3-5 —◆交通アクセス JR大阪環状線「天満」駅徒歩5分 ※JR…,月給20万円以上 ◎経験・能力に応じ優遇します。 ◎試用期間あり（3か月・待遇変化なし）,初年度年収のデータなし
日本プラスト株式会社 ,【転勤なし！＆マイカー通勤OK】 本社／静岡県富士宮市山宮（山宮工業団地内） ┗ JR「富士宮駅」…,月給20万〜30万円＋各種手当＋賞与年2回 ※経験・年齢を考慮の上、規定により決定いたします。 ※試用期…,400万円～550万円
株式会社デイヴィッドプロダクション ,東京都小平市小川町1-88-1　M&K東大和ビル3F,月給22万円以上 ※経験・能力を考慮し優遇 【試用期間/最長6か月】※実績に応じて短縮の場合あり。 ※試…,264万円～500万円
株式会社ヤマハコーポレートサービス ,【転勤なし】【マイカー通勤OK(条件あり)】 株式会社ヤマハコーポレートサービス本社 (静岡県浜松…,月給：20万円〜＋各種手当 ※年齢、経験、能力を考慮の上、優遇します。 ※別途、交通費を規程により支給…,初年度年収のデータなし
はぎぐち公認会計士・税理士事務所 ,★転勤なし ★駅チカでアクセス良好！ ★東京本社での勤務です 【勤務地詳細】 東京都中央区日本橋本…,年俸制／380万円〜700万円 ※経験・能力等を考慮して決定します。 ※年俸額を14分割して毎月の給与とし…,380万円～700万円
株式会社エスユーエス ,全国のプロジェクト先 ※ご希望や通勤を考慮し、勤務地を決定します。 ※U・Iターン歓迎！ ＜プロジ…,月給30万円以上 ＋ 各種手当 + 賞与（年2回） ※経験や能力、前職給与などを十分に考慮いたします。 ※…,400万円～1000万円
株式会社エスユーエス ,全国のプロジェクト先 ※ご希望や通勤を考慮し、勤務地を決定します。 ※U・Iターン歓迎！ ＜プロジ…,月給30万円以上 ＋ 各種手当 + 賞与（年2回） ※経験や能力、前職給与などを十分に考慮いたします。 ※…,400万円～1000万円
株式会社コムデック ,【＊遠方者、UIターン歓迎！WEB面接可＊】 三重県伊勢市小木町484-1 ◎イオンタウン伊勢ララ…,月給18万円〜30万円＋諸手当 ※残業代別途支給 ※経験・年齢を考慮の上、当社規定により優遇します。 ※…,280万円～400万円
株式会社ＲＪＣ ,【交通費全額支給】 ★都内をメインとした一都三県のお客様先 ★在宅ワークも導入中 ※本社／東京都練…,構築、導入、運用保守いずれかの経験者：月給25万円〜50万円（一律手当含む）＋諸手当＋賞与年2回（前年…,330万円～450万円
株式会社レッティ ,◆名古屋金山駅より徒歩1分の本社 or 愛知県もしくは岐阜県内のプロジェクト先 ★転勤なし 【 本…,"◆月給200,000円〜40万円＋諸手当＋残業手当100％支給 ※賞与は2回の支給です！ ◎今回の転職が不利にな…",350万円～600万円
株式会社PRIME ,【原則自由／完全在宅勤務】 全国どこでもリモートで勤務可能です♪ 流行りのテレワーク！ 業務の連絡…,"時給1,100円〜5,000円 【給与例】 ・初月→【50,000円】GET！ （平均40時間業務/時給換算1,250円） ・2…",初年度年収のデータなし
いづみ税理士事務所 ,【1：オフィスでの勤務】と【2：テレワーク勤務】が選べます 【1】 福岡県福岡市中央区天神1丁目1…,月給／30万円〜35万円　＋諸手当 ※年齢、経験、能力を考慮の上、優遇します。 ※待遇条件の詳細につい…,初年度年収のデータなし
株式会社エンビーコア ,★各線「千種駅」より直結で徒歩1分 ★客先常駐なし ★転勤なし 愛知県名古屋市東区葵3丁目15-3…,■実務未経験者 月給25万〜50万円 ※上記給与は、経験・年齢などを考慮の上、当社規定により優遇します…,300万円～750万円
株式会社エンビーコア ,★JR・地下鉄「千種駅」より直結で徒歩1分 ★転勤なし 愛知県名古屋市東区葵3丁目15-31 住友…,■業界未経験者 月給25万〜50万円 ※上記給与は、経験・年齢などを考慮の上、当社規定により優遇します…,300万円～750万円
一般社団法人 地球温暖化防止全国ネット ,★複数路線からのアクセスが便利！ 東京都千代田区九段南3-9-12 九段ニッカナビル7階 【アクセ…,年俸350万〜450万円 ※職歴・経験等を考慮し決定 ☆正社員登用実績あり　※現状、正職員への切替実績100…,350万円～450万円
株式会社医療新聞社 ,【転勤なし】 東京都新宿区上落合2-22-11 加瀬ビル155-5階・7階 ※株式会社リアライズエ…,月給20万円〜30万円＋交通費全額支給（新幹線は除く） ※試用期間3ヶ月有り（条件は変更なし） ※上記の…,300万円～400万円
株式会社エックスラボ ,≪ 転勤なし！アクセスも便利なオフィス ≫ 大阪府大阪市北区豊崎2-7-9 豊崎いずみビル4階 ＜…,月給27万〜34万円＋諸手当+インセンティブ年4回 ※経験やスキルなどを考慮の上、当社規定により優遇しま…,初年度年収のデータなし
株式会社ロッピングライフ ,【転勤なし】 東京都港区西麻布1-2-9　EXタワー5階,年俸制：300万〜500万円 ※スキル・経験を考慮して決定します。 ※年俸制は契約社員期間(最大3年)のみと…,300万円～500万円
コグニビジョン株式会社 ,＜本店＞ 東京都新宿区西新宿6-8-1 新宿オークタワー24階 ＜アクセス＞ 東京メトロ丸の内線「…,"月給：240,000円以上 ※経験・スキル・年齢を考慮のうえ、決定します。 ※試用期間3ヶ月あり（待遇の変…",480万円～600万円
株式会社テクノプロ ,【UIターン歓迎】 広島内近郊のプロジェクト先への配属となります。 （広島市内及び、安芸郡府中町の…,月給：25万円以上 ※プロジェクト経験、能力、前給等を考慮の上、当社規定により決定します ※試用期間2…,400万円～600万円
株式会社プラネットライツ ,東京都新宿区四谷坂町2-18,月給22万円〜38万円 ※年齢、経験により考慮いたします。 ※経験・スキルを考慮の上、優遇いたします。 …,初年度年収のデータなし
日本プラスト株式会社 ,【本社・テクニカルセンター】 (月10日を限度にテレワーク可能！)静岡県富士宮市山宮3507-15…,月給18万円〜（試用期間3ヶ月／待遇は変わりません） ※経験・年齢を考慮の上、規定により優遇いたします。,300万円～400万円
独立行政法人環境再生保全機構 ,〒212-8554 神奈川県川崎市幸区大宮町1310 ミューザ川崎セントラルタワー8F,"月給229,130円【本俸＋特別都市手当(一律支給)】",377万円～393万円
森総合税理士法人 ,【転勤なし】 本社 東京都港区浜松町2-6-2浜松町262ビル4階 ※新型コロナウイルス感染症の対…,"年俸制500万円〜1,000万円 ※能力や経験に基づいて優遇します。 ※1/12を月々支給いたします。 ※試用期…",500万円～1000万円
コグニビジョン株式会社 ,＜本店＞ 東京都新宿区西新宿6-8-1 新宿オークタワー24階 ＜アクセス＞ 東京メトロ丸の内線「…,"月給：230,000円以上 ※経験・スキル・年齢を考慮のうえ、決定します。 ※試用期間3ヶ月あり（待遇の変…",450万円～700万円
株式会社4COLORS ,★オフィスは「横浜駅」きた西口徒歩約1分★ 神奈川県横浜市神奈川区鶴屋町2-23−2 TSプラザビ…,年俸制／600万円〜 ※別途、交通費を全額支給します。 ※経験・能力・前給を考慮の上、決定いたします。 …,600万円
株式会社クオカード ,＜本社＞ 東京都中央区日本橋本町2-4-1 日本橋本町東急ビル内 ＜アクセス＞ 各線 東京メトロ「…,"月給300,000円〜 ＜予定年収＞ 480万円〜660万円（残業手当：有） ※予定年収はあくまでも目安の金額で…",450万円～700万円
エイコー・コンサルタンツ株式会社 ,◇福岡県福岡市南区高宮5-10-12 ※転勤は一切なし！ ※通勤手当は、1ヶ月最大5万円まで支給,◇月給／25万円〜 ＋ 各種手当 + 賞与年2回 ※当社規定の資格手当の支給もあります。 ※経験、年齢、能…,初年度年収のデータなし
株式会社テクノプロ ,【UIターン歓迎】 広島内近郊のプロジェクト先への配属となります。 （広島市内及び、安芸郡府中町の…,月給：25万円以上 ※プロジェクト経験、能力、前給等を考慮の上、当社規定により決定します ※試用期間2…,400万円～600万円
株式会社4COLORS ,★オフィスは「横浜駅」きた西口徒歩約1分★ 神奈川県横浜市神奈川区鶴屋町2-23−2 TSプラザビ…,年俸制／600万円〜 ※別途、交通費を全額支給します。 ※経験・能力・前給を考慮の上、決定いたします。 …,600万円
株式会社アイ・エー・アイ ,【希望エリアの案件にアサイン】 東京都／神奈川県／愛知県名古屋市（PM案件）のプロジェクト先 ★W…,月給25万円〜41万円 ※経験・能力を考慮し決定します ※試用期間6ヶ月（同条件） 【クリアな評価制度】…,400万円～700万円
株式会社ブロードバンドタワー ,【転勤なし】 東京都千代田区内幸町2-1-6　日比谷パークフロント9F,年俸 350万〜600万円 ※職位・スキル等を考慮します 月額 29万円〜50万円（年俸額÷12ヶ月より算出） 試…,350万円～600万円
コグニビジョン株式会社 ,＜本店＞ 東京都新宿区西新宿6-8-1 新宿オークタワー24階 ＜アクセス＞ 東京メトロ丸の内線「…,"月給：270,000円以上 ※経験・スキル・年齢を考慮のうえ、決定します。 ※試用期間3ヶ月あり（待遇の変…",600万円～800万円
株式会社ソソグー不動産 ,《 転勤なし・通勤手当あり 》 福岡県福岡市中央区渡辺通5丁目24-30　4F 【 アクセス 】…,"月給30万円〜35万円 + 諸手当 ※年齢、経験、能力を考慮の上、優遇します。 ※固定残業代30時間分：53,50…",初年度年収のデータなし
株式会社トヨタプロダクションエンジニアリング ,★マイカー通勤OK 本社： 福岡県宗像市アスティ1丁目6番地 アクセス／「教育大前駅」より車で7分…,"大学院卒：月給231,200円 〜 + 諸手当 大学卒　：月給209,500円 〜 + 諸手当 高専卒　：月給183,000円 〜…",初年度年収のデータなし
株式会社ブロードバンドタワー ,【転勤なし】東京都千代田区内幸町2-1-6　日比谷パークフロント9F,年俸制 350万〜650万円 ※職位・スキル等を考慮します,350万円～650万円
独立行政法人環境再生保全機構 ,〒212-8554 神奈川県川崎市幸区大宮町1310 ミューザ川崎セントラルタワー8F,"月給229,130円【本俸＋特別都市手当(一律支給)】",378万円～397万円
株式会社富士通ゼネラルOSテクノロジー ,本社もしくは、首都圏の各プロジェクト先（東京・神奈川・千葉・埼玉） ※勤務地はご相談の上、ご希望を…,月給41.6万円〜50万円 ※経験・年齢・スキルを考慮の上、当社規定により決定します。 ※試用期間／3ヶ月…,初年度年収のデータなし
株式会社CROSTAGE ,◎東京都港区　※現在は在宅勤務（出社頻度：月1回程度） ◎転勤なし ◎お持ちのスキル、経験、希望、…,■月給25万円以上 ※経験や能力、スキルを考慮の上、当社規定により決定します。 ※試用期間3ヶ月（待遇…,300万円～420万円
株式会社ブロードバンドタワー ,【転勤なし】東京都千代田区内幸町2-1-6　日比谷パークフロント9F,年俸制 330万〜500万円 ※職位・スキル等を考慮します,330万円～500万円
株式会社トヨタプロダクションエンジニアリング ,★マイカー通勤OK ★UIターン歓迎 本社： 福岡県宗像市アスティ1丁目6番地 アクセス／「教育大…,"大学院卒：月給231,200円 〜 + 諸手当 大学卒　：月給209,500円 〜 + 諸手当 高専卒　：月給183,000円 〜…",初年度年収のデータなし
株式会社ブロードバンドタワー ,【転勤なし】東京都千代田区内幸町2-1-6　日比谷パークフロント9F,年俸制 350万〜650万円 ※職位・スキル等を考慮します,350万円～650万円
株式会社春光園 ,【転勤なし／マイカー通勤OK】 本社 福島県福島市鳥谷野字扇田10-1,月給18万円〜40万円＋各種手当 ※経験、スキル等を考慮し当社規定により優遇します ※給与には固定残業…,初年度年収のデータなし
森総合税理士法人 ,【転勤なし】 本社 東京都港区浜松町2-6-2浜松町262ビル4階 ※新型コロナウイルス感染症の対…,"年俸制500万円〜1,200万円 ※能力や経験に基づいて優遇します。 ※1/12を月々支給いたします。 ※試用期…",500万円～1200万円
みすゞ建設株式会社 ,本社／東京都武蔵野市吉祥寺東町2-2-15 ≪アクセス≫ 「吉祥寺駅」徒歩8分,月給25万円以上＋各種手当 ※試用期間3ヶ月（給与や社会保険等の待遇は変わりません） ※経験・能力によ…,初年度年収のデータなし
株式会社IPパートナーズ ,東京都渋谷区代々木2-23-1 ニューステイトメナー2284,"月給40万円〜 ※固定残業代(95,300円〜/40時間分)含む。 　40時間超過分は別途支給いたします。",600万円
スリー・アールシステム株式会社 ,＜転勤なし！博多駅から徒歩９分＞ ■本社：福岡市博多区東光2-8-30 第一高光ビル2階,"月給　250,000円〜300,000円＋諸手当 ※経験・年齢により優遇します。 ※試用期間２カ月（試用期間中は…",362万円～435万円
株式会社IPパートナーズ ,東京都渋谷区代々木2-23-1 ニューステイトメナー2284,月給50万円〜70万円,600万円～800万円
株式会社春光園 ,【転勤なし／マイカー通勤OK】 本社 福島県福島市鳥谷野字扇田10-1,月給22万円〜40万円＋各種手当 ※実績に応じてインセンティブ支給(毎月最大10万円) ※経験、スキル等を…,初年度年収のデータなし
株式会社アルペン ,愛知県名古屋市中区丸の内2-9-40　アルペン丸の内タワー,月給26万1800円〜37万1800円 ※経験・年齢・前職の年収を考慮の上、当社規定により優遇します。 ※試用…,350万円～500万円
株式会社sizebook ,東京都港区海岸3-18-1 ピアシティ芝浦ビル10階 ※転勤なし ※リモートワーク可,"月給 300,000円〜420,000円 ※月給には固定残業手当を含みます 95,000円〜133,000円（固定残業時間60時間…",360万円～500万円
株式会社ファルコン ,愛知県名古屋市中区栄2-2-5　電気文化会館8F ※転勤なし ※自社内開発 ※テレワーク制度策定中…,月給 23万円~27万円＋賞与年2回 ※試用期間3ヶ月あり（待遇同じ） ※スキル経験によって試用期間に変動あ…,370万円～430万円
株式会社テレビ朝日メディアプレックス ,《転勤ナシ》 ＊原則テレワーク（在宅勤務）での就業となります。 ◆本社 東京都港区西麻布1-2-9…,月給30万円〜＋賞与年2回＋諸手当 ※経験・能力、前職での給与等を考慮の上、当社規定により決定致しま…,500万円～700万円
株式会社ヤマコー ,【転勤なし／マイカー通勤可（駐車場完備）】 京都府綴喜郡宇治田原町緑苑坂54-2 ※マイカー・バイ…,月給25万円〜35万円＋諸手当＋賞与年2回 ※年齢・経験・スキルを十分考慮の上、当社規定により優遇いたし…,初年度年収のデータなし
株式会社アルペン ,愛知県名古屋市中区丸の内2-9-40　アルペン丸の内タワー,"月給261,800円〜371,800円 ※経験・年齢・前職の年収を考慮の上、当社規定により優遇します。",350万円～500万円
株式会社アルペン ,愛知県名古屋市中区丸の内2-9-40　アルペン丸の内タワー,月給26万1800円〜37万1800円 ※経験・年齢、前職の年収を考慮の上、当社規定により優遇します。 ※試用…,350万円～500万円
株式会社サンポー ,【転勤なし／UIターン歓迎／マイカー通勤OK】 ●本社 山梨県甲斐市竜王新町２２７７−１５ ＜アク…,月給19万7000円〜 ※ご年齢やご経験、能力などを考慮し、当社規定内において優遇・決定いたします,初年度年収のデータなし
株式会社テレビ朝日メディアプレックス ,《転勤ナシ》 １．テレビ朝日メディアプレックス本社 (東京都港区都港区西麻布1-2-9 EXタワー…,月給25万円〜＋賞与年2回＋諸手当 ※経験・能力、前職での給与等を考慮の上、当社規定により決定致しま…,550万円～700万円
DKSHジャパン株式会社 ,【駅近オフィス】 東京都港区三田3-4-19　DKSH三田ビル 〜アクセス〜 ・都営三田線「三田駅…,年俸制400万〜600万円 ※前職・経験・スキルを考慮の上、決定いたします。 ※提示年俸の86％を12分割し…,400万円～600万円
株式会社テレビ朝日メディアプレックス ,《転勤ナシ》 ＊原則テレワーク（在宅勤務）での就業となります。 ◆本社 東京都港区西麻布1-2-9…,月給25万円〜＋賞与年2回＋諸手当 ※上記には固定残業手当5万円〜（30時間分）を含みます。超過分は追加…,500万円～700万円
株式会社スナーク ,【転勤なし】 ＜本社＞ 東京都台東区寿2‐10‐11　MS田原町ビル6F ☆社員80％以上が在宅で…,"月給：250,000円以上 ☆経験・スキル・前職給与を考慮の上、決定いたします。 能力次第でリーダーポジシ…",300万円～800万円
株式会社C Cubeコンサルティング ,【本社】 東京都中央区銀座5-14-10　第10矢野新ビル8Ｆ 東京メトロ日比谷線「東銀座駅」4番…,月給 28万円〜45万円 ※固定残業代月40時間10万円〜15万円を含む。超過分は別途支給。 ※経験・能力等十…,400万円～700万円
株式会社フェアーウェイ ,本社／東京都港区六本木5-18-18プレシャス六本木ビル5F ※月に5回、テレワークを実施中です,"☆★前職給与保証★☆ 月給41万6,666円以上 ※あなたのスキル・経験を考慮して決定します。 ※見込み残…",初年度年収のデータなし
株式会社フォーサム ,本社、もしくは東京都内のお客様先 【本社】 東京都千代田区内神田3-13-4 東陽ビル2F JR山…,"【月給】23万5,000円〜40万5,000円 ※残業代別途全額支給 ※上記には一律支給の食事手当5,000円を含む …",350万円～600万円
株式会社クラビズ ,岡山県倉敷市阿知3丁目1−2 ★オフィスは倉敷駅から徒歩3分！ 駅近で通いやすいオシャレ空間です！,"月給 25万円以上 + 諸手当 ※年齢、経験、能力を考慮して優遇します。 ※固定残業代（20時間20分／3万8,…",350万円～600万円
株式会社クラビズ ,【 転勤なし/UIターン歓迎 】 岡山県倉敷市阿知3丁目1-2 ★転勤なし！ずーっと岡山の地で働け…,"月給18万円〜30万円 ＋ 諸手当 ※固定残業代（20時間20分／3万8,000円〜）含む。 ※超過分は別途支給し…",350万円～600万円
ヤマギシリフォーム工業株式会社 ,名古屋営業所 愛知県名古屋市東区筒井３丁目18-20,"【月給】 258,900円〜337,000円　 ※試用期間あり（6ヶ月／同条件） ※経験、能力を考慮し、優遇いたしま…",350万円～520万円
株式会社クラビズ ,【 U・Iターン歓迎／マイカー通勤OK 】 岡山県倉敷市五日市70-1,"月給 25万円以上 + 諸手当 ※年齢、経験、能力を考慮して優遇します。 ※固定残業代（20時間20分／3万8,…",350万円～600万円
谷古宇公認会計士事務所 ,【転勤なし】 東京都千代田区神田駿河台 3-3-11 駿河台谷古宇ビル 受動喫煙対策：喫煙専用室設置,年俸制：500万円以上 ※経験・能力などを考慮の上で決定します。 ※試用期間3〜6か月（待遇変更なし） ※…,500万円～600万円
株式会社クラビズ ,《 転勤なし/UIターン歓迎 》 岡山県倉敷市阿知3丁目1-2 ★転勤なし！ずーっと岡山の地で働け…,"月給18万円〜30万円 ＋ 諸手当 ※固定残業代（20時間20分／3万8,000円〜）含む。 ※超過分は別途支給し…",350万円～600万円
株式会社テレビ朝日メディアプレックス ,《転勤ナシ》 ◆株式会社ビーエス朝日 東京都港区六本木六丁目10番1号 六本木ヒルズ森タワー16階…,月給25万円〜＋賞与年2回＋諸手当 ※経験・能力、前職での給与等を考慮の上、当社規定により決定致しま…,400万円～550万円
株式会社ウェブクルー ,154-0024 東京都世田谷区三軒茶屋二丁目11番22号　サンタワーズセンタービル4F 【アクセ…,半期年俸制348万円〜 ※ご経験や前職年収を考慮し、決定します。 ※半期年俸制（半期ごとに人事評価を行…,348万円～500万円
日本テクニカルサービス株式会社,NTSテクニカルセンター 愛知県名古屋市名東区本郷3-134　TAKビル6階 地下鉄東山線「本郷駅…,"月給制：基本給280,000円〜500,000円 ※スキル・ご経験を基に給与を決定していきます。 ◇引越し費用の…",400万円～700万円
株式会社テレビ朝日メディアプレックス ,《転勤ナシ》 ◆本社 東京都港区西麻布1-2-9 EXタワー7階 〜アクセス〜 ・日比谷線＆大江戸…,月給25万円〜＋賞与年2回＋諸手当 ※経験・能力、前職での給与等を考慮の上、当社規定により決定致しま…,400万円～550万円
株式会社ウェブクルー ,154-0024 東京都世田谷区三軒茶屋二丁目11番22号　サンタワーズセンタービル4F 【アクセ…,半期年俸制348万円〜 ※ご経験や前職年収を考慮し、決定します。 ※半期年俸制（半期ごとに人事評価を行…,348万円～450万円
株式会社テレビ朝日メディアプレックス ,《転勤ナシ》 ◆東京都港区六本木6-9-1テレビ朝日本社内 〜アクセス〜 東京メトロ日比谷線/都営…,月給25万円〜40万円＋賞与年2回＋諸手当 ※経験・能力、前職での給与等を考慮の上、当社規定により決定…,450万円～550万円
株式会社社会情報サービス ,※転勤無し！ 東京都新宿区富久町10-5　NMF新宿EASTビル 〈アクセス〉 都営地下鉄新宿線「…,"【月給】230,000円〜",400万円～600万円
宮城相扶株式会社 ,■宮城県仙台市青葉区立町27-21（仙台橋本ビルヂング4階） ※転勤なし,"■月給21万9,500円〜35万6,100円 ※固定残業代（30時間分／3万9,090円〜6万5,970円）を含む。超過分は別…",318万円～516万円
株式会社アール・シー・エス ,《 本社：香川県高松市錦町2丁目2番17号 》 ※転勤なし ※在宅勤務もOK ※直行直帰OK ※U…,月給：22万円〜35万円(一律手当含む) ※上記はあくまでも最低保障です。 ※年齢、経験、能力を考慮の上…,300万円～500万円
BBSインターナショナル株式会社 ,【転勤なし！】 東京都中央区日本橋小伝馬町2-5 メトロシティ小伝馬町 7F ★直行直帰OK！ ＜…,月給31万円（一律手当含む）〜＋賞与2回＋業績賞与 ※経験・能力等を考慮のうえ、決定いたします。 ※試…,初年度年収のデータなし
宮城相扶株式会社 ,【転勤なし/U・Iターン歓迎】 宮城県仙台市青葉区立町27-21（仙台橋本ビルヂング4階）,"■月給21万9,500円〜29万800円（一律手当含む） ※固定残業代（3万9,090円〜、30時間分）含む。超過分は…",318万円～421万円
アークアウトソーシング株式会社 ,【転勤なし／恵比寿駅から徒歩5分のキレイなオフィス】 本社／東京都渋谷区恵比寿1-21-3　恵比寿…,【年俸制】 ■マネージャー：720万円〜840万円＋業績賞与(毎年支給実績あり) ■シニアスタッフ：500万円…,357万円～840万円
サイファー税理士法人 ,【転勤なし／U・Iターン歓迎／姫路駅から徒歩10分】 姫路事務所／兵庫県姫路市北条252-12 ※…,月給：20万円〜 ＋ 諸手当 ＋ 賞与年2回 ※年齢・経験・スキルを十分考慮の上、当社規定により優遇いたし…,初年度年収のデータなし
株式会社クロスワープ ,【転勤なし・在宅ワークも導入中】 東京都品川区上大崎3-2-9 アクア目黒3F ※「目黒駅」徒歩2分,年俸制350万円〜400万円+在宅勤務手当(月1万円)※年俸380万円以下の場合 ※経験・能力により、優遇いたし…,350万円～400万円
株式会社ソウワ・ディライト ,【転勤なし／U・Iターン歓迎／マイカー通勤可】 本社／群馬県前橋市小屋原町722-1,【月給】20万円〜25万円＋諸手当 ※経験・年齢・能力などを考慮の上、当社規定により決定いたします。 …,300万円～400万円
山崎建設株式会社 ,【転勤なし】 ◆本社／福井県福井市江守中町7-17 ※マイカー通勤OK ※テレワーク可,◆月給20万円〜50万円 ※これまでの経験・能力等を十分に考慮し、当社規定により決定します ※固定残業…,300万円～600万円
株式会社デンソーエスアイ ,【本社勤務／転勤なし／車通勤OK】 愛知県安城市三河安城南町1-11-9 ⇒JR「三河安城駅」より…,"月給210,000円〜360,000円（一律手当含む） ※経験・年齢を考慮の上、当社規定により優遇します。 ※試…",400万円～600万円
株式会社 シーエスアイ ,【転勤なし／テレワークメイン】 本社／北海道札幌市白石区平和通15丁目北1-21,"月給 256,417円〜 ※経験やスキルを考慮の上決定いたします。 <試用期間>3ヶ月／期間中も条件に変更はあ…",370万円～600万円
山崎建設株式会社 ,【転勤なし】 ◆本社／福井県福井市江守中町7-17 ※マイカー通勤OK ※テレワーク可,◆月給20万円〜50万円 ※これまでの経験・能力等を十分に考慮し、当社規定により決定します ※固定残業…,300万円～600万円
山崎建設株式会社 ,【転勤なし】 ◆本社／福井県福井市江守中町7-17 ※マイカー通勤OK ※テレワーク可,◆月給20万円〜50万円 ※これまでの経験・能力等を十分に考慮し、当社規定により決定します ※固定残業…,300万円～600万円
株式会社伊勢屋 ,【転勤なし/マイカー通勤OK】静岡県浜松市中区佐藤1丁目40-28,月給：18万円〜20万円+各種手当+賞与+インセンティブ（機器導入）＜入社時月収例：21万円〜27万円＞ ※前…,初年度年収のデータなし
株式会社クラシック ,【成田空港オフィス】 千葉県成田市三里塚御料牧場1-2　臨空開発第1センタービル6階 ＜アクセス＞…,月給18万円以上＜月収例：25万円※基本給18万円+各種手当＞ ※前職の給与・経験・能力を考慮し優遇しま…,360万円～700万円
ポーターズ株式会社 ,【在宅勤務＝通勤のストレスなし】 ★転勤なし ★ガラス張りのキレイな本社オフィスは青山一丁目駅1分…,【年俸制】600万円〜840万円 ★前職給与は最大限考慮します。 ★経験・スキル・年齢等を考慮の上、優遇し…,600万円～840万円
若築建設株式会社 ,東京本社／東京都目黒区下目黒2-23-18 ※転勤なし,月給制 40万円以上＋各種手当＋賞与（年2回） ※残業代全額支給 試用期間 12ヶ月 ※期間中は契約社員（…,600万円～900万円
若築建設株式会社 ,東京本社／東京都目黒区下目黒2-23-18 ※転勤なし,月給制 40万円以上＋各種手当＋賞与（年2回） ※残業代全額支給 試用期間 12ヶ月 ※期間中は契約社員（…,600万円～900万円
株式会社アール・シー・エス ,《 本社：香川県高松市錦町2丁目2番17号 》 ※在宅勤務もOK ※転勤なし ※U・Iターン歓迎…,月給22万円〜35万円＋諸手当 ※上記はあくまでも最低保証です。 ※年齢、経験、能力を考慮の上、優遇致し…,300万円～500万円
株式会社アールラーニング ,【転勤なし・UIターン歓迎・交通費月5万円まで支給】★勤務地は希望を考慮します！ ■本社／東京都新…,■月給25万円〜 ※前職の給与を保証します！ ※経験やスキルに応じて、話合いの上で決定します ※実務経…,350万円～450万円
株式会社ハイマックス ,本社　もしくは　顧客先（神奈川県内・東京23区内・23区外 ※直行直帰での勤務） 【本社】 神奈川…,月給27万円以上 年齢・経験・スキル等を考慮のうえ、決定いたします。 試用期間3ヵ月あり。待遇に変更は…,400万円～700万円
株式会社ハイマックス ,★転勤なし！ 東京都新宿区 【アクセス】 各線「高田馬場駅」より徒歩6分程度 ※顧客先での勤務とな…,月給27万円以上 年齢・経験・スキル等を考慮のうえ、決定いたします。 試用期間3ヵ月あり。待遇に変更は…,400万円～700万円
株式会社ハイマックス ,本社　もしくは　顧客先（神奈川県内・東京23区内・23区外 ※直行直帰での勤務） 【本社】 神奈川…,月給27万円以上 年齢・経験・スキル等を考慮のうえ、決定いたします。 試用期間3ヵ月あり。待遇に変更は…,400万円～700万円
有限会社キャリアボックス ,◆東京都23区内、横浜市、川崎市の各プロジェクト先 ※配属先は、ご希望や適性を考慮して決定いたしま…,◆月給／22万円〜35万円以上＋賞与（年2回） ※上記は入社時の最低保証額です。 ※年齢や経験、スキルを…,350万円～450万円
株式会社ハイマックス ,★転勤なし！ 【六本木一丁目駅直結でアクセス抜群！】 東京都港区 ※顧客先での勤務となります。 【…,月給27万円以上 年齢・経験・スキル等を考慮のうえ、決定いたします。 試用期間3ヵ月あり。待遇に変更は…,400万円～700万円
ナカシャクリエイテブ株式会社 ,愛知県名古屋市天白区井の森町205 ※車通勤可,日給月給23万円以上 ※経験・年齢を考慮の上、当社規定により優遇します。 ※試用期間3か月あり。期間中…,350万円～500万円
SMC税理士法人 ,◆名古屋本社｜愛知県名古屋市中村区名駅4丁目5-27 大一名駅ビル5F ◆多治見事務所｜岐阜県多治…,"◆月給218,750円〜375,000円 ※上記金額には、固定残業手当49,800円〜85,300円/40時間分を含みます。時間…",270万円～600万円
